Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
SE,,,89900,80400,6275000,157225,596900,2073000,600500,26167500,345500,382725,863250,70500
SI,,,6400,5700,446000,11125,42200,147000,42500,1852500,24500,27075,61500,4950
SK,,,245300,220050,17245250,430350,1632700,5666000,1643000,71895000,947500,1046325,2362500,192500
US,US-AK,AK-AT LARGE,125700,111350,8833500,217775,825100,2862000,831000,36180000,478500,525000,1173750,98800
US,US-AL,AL-1,95800,84950,6782250,166175,630000,2185000,634000,27607500,365500,400650,896250,75250
US,US-AL,AL-2,106200,93100,7432250,182075,689700,2400000,694500,30270000,401700,437400,976500,82350
US,US-AL,AL-3,83800,74300,5928750,145350,551000,1911000,554500,24142500,319700,350550,783750,65750
US,US-AL,AL-4,69400,61550,4906000,120400,456500,1583000,459500,19995000,264800,290475,650250,54450
US,US-AL,AL-5,102500,90850,7247500,177725,673700,2337000,678000,29512500,390900,428550,958500,80400
US,US-AL,AL-6,141000,125150,9970000,244775,927900,3219000,934000,40680000,538400,590550,1322250,110850
US,US-AL,AL-7,82100,72650,5810500,142150,538900,1869000,542500,23565000,312700,342675,765750,64300
US,US-AR,AR-1,75400,66800,5342750,130625,495300,1718000,498500,21682500,287300,314700,703500,59100
US,US-AR,AR-2,176700,155550,12544500,304200,1153600,4003000,1160500,50422500,669400,730200,1630500,137650
US,US-AR,AR-3,110200,97700,7800000,191125,724600,2513000,729500,31732500,420400,460875,1031250,86500
US,US-AR,AR-4,70500,62400,4985500,122075,462800,1605000,466000,20265000,268500,294225,657750,55250
US,US-AZ,AZ-1,693200,606200,49985250,1185650,4500600,15614000,4522500,196410000,2608800,2834400,6324000,536350
US,US-AZ,AZ-2,610300,532500,44138250,1041550,3953600,13716000,3972500,172500000,2291500,2487975,5548500,471200
US,US-AZ,AZ-3,419900,366850,30297750,717500,2723600,9448000,2737000,118830000,1578600,1714800,3825000,324550
US,US-AZ,AZ-4,527400,461750,38001250,903175,3428100,11894000,3445000,149610000,1987400,2160900,4820250,408400
US,US-AZ,AZ-5,420200,367450,30312000,718650,2728000,9465000,2741500,119025000,1581300,1718100,3832500,325000
US,US-AZ,AZ-6,662500,579650,47741000,1133725,4303100,14930000,4324500,187755000,2494500,2711700,6048750,512750
US,US-AZ,AZ-7,1098500,958400,79398250,1874525,7115000,24695000,7150000,310372500,4123300,4478775,9982500,847350
US,US-AZ,AZ-8,503300,440300,36317500,861150,3268900,11342000,3285000,142605000,1895000,2059275,4592250,389350
US,US-AZ,AZ-9,489300,427950,35297250,837000,3177100,11023000,3192500,138622500,1841700,2001450,4464000,378500
US,US-CA,CA-1,123300,109250,8723750,213725,810200,2811000,815500,35460000,470300,515550,1152750,96650
US,US-CA,CA-10,605700,527350,43848000,1031450,3915500,13577000,3934000,170790000,2269500,2462550,5491500,466650
US,US-CA,CA-11,161200,142700,11373500,279100,1057800,3670000,1065000,46342500,613900,672675,1504500,126500
US,US-CA,CA-12,297600,263900,21047750,516175,1956600,6788000,1969500,85657500,1135800,1245450,2786250,233650
US,US-CA,CA-13,223000,197750,15769750,386825,1466300,5087000,1476000,64222500,850900,933300,2088000,175100
US,US-CA,CA-14,151500,134400,10707250,262875,996400,3456000,1003000,43665000,578300,634275,1419750,119100
